New York,Albany,42.6525,73.7572,1
Maryland,Annapolis,38.9729,76.5012,1
Georgia,Atlanta,33.755,84.39,1
Maine,Augusta,44.3235,69.7653,1
Texas,Austin,30.25,97.75,1
Louisiana,Baton Rouge,30.45,91.14,1
North Dakota,Bismarck,46.8133,100.779,1
Idaho,Boise,43.6167,116.2,1
Massachusetts,Boston,42.3581,71.0636,1
Nevada,Carson City,39.1608,119.7539,1
West Virginia,Charleston,38.3472,81.6333,1
Wyoming,Cheyenne,41.1456,104.8019,1
South Carolina,Columbia,34.0008,81.0353,1
Ohio,Columbus,39.9833,82.9833,1
New Hampshire,Concord,43.2067,71.5381,1
Colorado,Denver,39.7392,104.9847,1
Iowa,Des Moines,41.5908,93.6208,1
Delaware,Dover,39.1619,75.5267,1
Kentucky,Frankfort,38.197,84.863,1
Pennsylvania,Harrisburg,40.2697,76.8756,1
Connecticut,Hartford,41.7627,72.6743,1
Montana,Helena,46.5958,112.027,1
Indiana,Indianapolis,39.791,86.148,1
Mississippi,Jackson,32.2989,90.1847,1
Missouri,Jefferson City,38.5767,92.1736,1
Michigan,Lansing,42.7336,84.5467,1
Nebraska,Lincoln,40.8106,96.6803,1
Arkansas,Little Rock,34.7361,92.3311,1
Wisconsin,Madison,43.0667,89.4,1
Alabama,Montgomery,32.3617,86.2792,1
Vermont,Montpelier,44.25,72.5667,1
Tennessee,Nashville,36.1667,86.7833,1
Oklahoma,Oklahoma City,35.4822,97.535,1
Washington,Olympia,47.0425,122.8931,1
Arizona,Phoenix,33.45,112.0667,1
South Dakota,Pierre,44.368,100.3364,1
Rhode Island,Providence,41.8236,71.4222,1
North Carolina,Raleigh,35.7806,78.6389,1
Virginia,Richmond,37.5333,77.4667,1
California,Sacramento,38.5556,121.4689,1
Minnesota,Saint Paul,44.9442,93.0936,1
Oregon,Salem,44.9308,123.0289,1
Utah,Salt Lake City,40.75,111.8833,1
New Mexico,Santa Fe,35.6672,105.9644,1
Illinois,Springfield,39.6983,89.6197,1
Florida,Tallahassee,30.455,84.2533,1
Kansas,Topeka,39.0558,95.6894,1
New Jersey,Trenton,40.2237,74.764,1
New York,New York,40.6643,73.9385,0
California,Los Angeles,34.0194,118.4108,0
Illinois,Chicago,41.8376,87.6818,0
Texas,Houston,29.7805,95.3863,0
Pennsylvania,Philadelphia,40.0094,75.1333,0
Texas,San Antonio,29.4724,98.5251,0
California,San Diego,32.8153,117.1350,0
Texas,Dallas,32.7757,96.7967,0
California,San Jose,37.2969,121.8193,0
Florida,Jacksonville,30.3370,81.6613,0
California,San Francisco,37.7751,122.4193,0
North Carolina,Charlotte,35.2087,80.8307,0
Texas,Fort Worth,32.7795,97.3463,0
Michigan,Detroit,42.3830,83.1022,0
Texas,El Paso,31.8484,106.4270,0
Tennessee,Memphis,35.1035,89.9785,0
Washington,Seattle,47.6205,122.3509,0
District of Columbia,Washington,38.9041,77.0171,0
Maryland,Baltimore,39.3002,76.6105,0
Kentucky,Louisville,38.1781,85.6667,0
Oregon,Portland,45.5370,122.6500,0
Nevada,Las Vegas,36.2277,115.2640,0
